year,tfr,female_lfp,male_lfp,female_tertiary,female_marriage_age,lfp_gap,men_share_unpaid_pct,father_share_leave_pct
1980,2.82,,,,24.1,,,
1981,2.57,,,,,,,
1982,2.39,,,,,,,
1983,2.06,,,,,,,
1984,1.74,,,,,,,
1985,1.66,,,,24.7,,,
1986,1.58,,,,,,,
1987,1.53,,,,,,,
1988,1.55,,,,,,,
1989,1.56,,,,,,,
1990,1.57,47.207,71.412,,25.4,24.205000000000005,,
1991,1.71,47.219,72.825,,,25.606,,
1992,1.76,47.199,73.404,,,26.205,,
1993,1.654,47.16,73.466,,,26.305999999999997,,
1994,1.656,47.906,74.147,,,26.241000000000007,,
1995,1.634,48.449,74.253,,26.1,25.804000000000002,,
1996,1.574,48.948,74.172,,,25.223999999999997,,
1997,1.537,49.826,74.008,,,24.181999999999995,,
1998,1.464,47.124,73.074,,,25.949999999999996,,
1999,1.425,47.675,72.46,,,24.784999999999997,10.606060606060606,
2000,1.48,49.35,71.948,54.803539276123,27.1,22.597999999999992,,
2001,1.309,50.001,72.018,57.5034294128418,,22.017000000000003,,
2002,1.178,50.369,72.676,60.8071594238281,,22.307000000000002,,
2003,1.191,49.477,72.566,64.1331787109375,,23.089000000000006,,
2004,1.164,50.637,72.824,69.0488128662109,,22.186999999999998,12.341772151898734,
2005,1.085,50.664,72.293,74.0774078369141,28.8,21.629000000000005,,
2006,1.132,50.833,71.942,78.9022827148438,,21.108999999999995,,
2007,1.259,50.648,71.834,82.6704330444336,,21.186,,
2008,1.192,50.353,71.119,84.2002105712891,,20.766,,
2009,1.149,49.575,70.714,84.7031784057617,,21.138999999999996,14.14790996784566,
2010,1.226,49.767,70.741,85.1834182739258,30.2,20.973999999999997,,2.7
2011,1.244,49.994,71.139,85.3423614501953,,21.144999999999996,,
2012,1.297,50.29,71.469,83.8895874023438,,21.178999999999995,,
2013,1.187,50.805,71.943,82.8079605102539,,21.137999999999998,,
2014,1.205,51.839,72.709,81.6551284790039,,20.870000000000005,16.181229773462782,
2015,1.239,52.391,72.802,81.904052734375,31.5,20.41100000000001,,5.6
2016,1.172,52.568,72.739,82.147087097168,,20.171000000000006,,
2017,1.052,53.073,72.81,82.671630859375,,19.737000000000002,,13.361887219546837
2018,0.977,53.224,72.359,83.1325073242188,,19.134999999999998,,17.804614965876674
2019,0.918,53.772,72.293,84.5599365234375,,18.521000000000008,19.736842105263158,21.201920791137734
2020,0.837,53.137,71.503,87.7054290771484,,18.366,,24.474731787429263
2021,0.808,53.65,71.554,91.6238479614258,,17.904000000000003,,26.26837320790557
2022,0.778,55.03,72.658,94.4947814941406,,17.628,,28.900552317597874
2023,0.721,56.038,72.58,99.2188186645508,,16.542,,28.042663957843946
2024,0.748,56.826,72.181,105.185653686523,,15.354999999999997,22.413793103448278,31.560719809861546
