code,country,gdp_pc,lfp_ratio,tertiary_gpi,tfr,gdp_pc_year,lfp_ratio_year,tertiary_gpi_year,tfr_year,men_unpaid_min,women_unpaid_min,men_share_unpaid_pct,tertiary_parity,public_parity,private_parity,mismatch,log_gdp,nonmarital_pct,nonmarital_year,mismatch_c,nonmarital_pct_c,log_gdp_c,predicted_tfr,residual
PRT,Portugal,42228.1580446502,87.9136368004613,1.17716002464294,1.41,2024,2024,2023,2024,96.2683438155136,328.156424581006,22.68207488908252,117.716002464294,102.81481963237763,45.36414977816504,57.45066985421261,10.650842529753197,59.50361147738013,2023,23.47798833636849,19.44920485667354,-0.25759475286684186,1.4400444094570892,-0.030044409457089305
JPN,Japan,47479.8448545667,77.7620812644241,0.974250018596649,1.15,2024,2024,2023,2024,47.0,208.0,18.431372549019606,97.42500185966487,87.59354156204449,36.86274509803921,50.73079646400528,10.768060581122787,2.4,2023,16.758114946161157,-37.654406620706595,-0.14037670149725123,1.0939342266339573,0.05606577336604257
KOR,Korea,55070.9386194121,78.7270888460952,0.891470015048981,0.748,2024,2024,2024,2024,48.9944848608272,215.008936662608,18.5582764716093,89.1470015048981,83.93704517549665,37.1165529432186,46.82049223227805,10.91637742622626,4.719860190933278,2024,12.847810714433926,-35.33454642977332,0.007940143606221639,1.1114401016236524,-0.36344010162365237
NZL,New Zealand,48325.3650985684,88.3777078220041,1.38266003131866,1.57,2024,2024,2024,2024,141.0,264.0,34.81481481481482,138.266003131866,113.32185547693504,69.62962962962963,43.69222584730541,10.785711859114071,48.4315540471048,2024,9.719544329461286,8.377147426398203,-0.12272542350596716,1.396069738129799,0.173930261870201
TUR,Türkiye,36154.490436557,51.1819459324086,1.07325994968414,1.48,2024,2024,2023,2024,67.5917389,305.047395,18.138658222122924,107.325994968414,79.2539704504113,36.27731644424585,42.976654006165454,10.49555643665154,3.0575704710311267,2023,9.003972488321331,-36.99683614967547,-0.4128808459684983,1.1035262835519584,0.3764737164480416
IRL,Ireland,118833.312071751,85.0285616847131,1.18614995479584,1.47,2024,2024,2022,2024,126.978151,292.508303,30.269904972902893,118.614995479584,101.82177858214855,60.539809945805786,41.28196863634277,11.685477051249016,38.4,2019,7.309287118498645,-1.6544066207065953,0.7770397686289776,1.3349349071563652,0.13506509284363477
LVA,Latvia,37615.0762450744,82.5614943041551,1.32453000545502,1.24,2024,2024,2024,2024,129.726897150602,253.2541126242,33.872932035685835,132.453000545502,107.50724742482856,67.74586407137167,39.76138335345688,10.53516021297816,37.34299516908213,2023,5.7887018356127555,-2.711411451624464,-0.3732770696418779,1.3303177437842169,-0.09031774378421686
ITA,Italy,53284.8745049149,69.9406791217783,1.29103994369507,1.18,2024,2024,2023,2024,130.70904349082,306.335941182031,29.907457601569764,129.10399436950698,99.52233674564263,59.81491520313953,39.70742154250311,10.883407789485068,40.45065676906473,2023,5.73474002465899,0.3962501483581349,-0.025029493134971048,1.3507537741904416,-0.1707537741904417
LTU,Lithuania,47462.0039386975,83.6876970696289,1.31260001659393,1.11,2024,2024,2024,2024,151.6108055203,291.951659066224,34.18026041983222,131.260001659393,107.47384936451095,68.36052083966445,39.11332852484651,10.767684752838296,27.25112738204917,2023,5.140647007002386,-12.803279238657424,-0.1407525297817429,1.2650435769382626,-0.15504357693826254
AUS,Australia,60309.5831772339,88.3372345525818,1.31058001518249,1.481,2024,2024,2024,2024,171.595818815331,311.0,35.55683910328147,131.058001518249,109.6976180354154,71.11367820656294,38.58393982885247,11.007246295083624,39.86926738165423,2023,4.611258311008349,-0.1851392390523614,0.09880901246358498,1.3486866364195211,0.13231336358047896
