code,men_unpaid_min,women_unpaid_min
AUS,171.595818815331,311.0
AUT,138.51473,237.79821
BEL,144.172378478972,237.322972016499
CAN,163.9218968153,247.182051444054
DEU,151.641156779146,232.621356855328
DNK,186.136081859719,242.808720907722
ESP,145.9093127,289.1279055
EST,139.187715531909,209.36915508837
FIN,161.987690264496,208.748649916855
FRA,134.939453321805,224.030847649372
GBR,140.081795190296,248.632290190633
GRC,97.0,260.0
HUN,162.341045980129,293.767324683589
IRL,126.978151,292.508303
ITA,130.70904349082,306.335941182031
JPN,47.0,208.0
KOR,48.9944848608272,215.008936662608
LTU,151.6108055203,291.951659066224
LUX,121.075181416472,239.61742768193
LVA,129.726897150602,253.2541126242
MEX,147.359370199201,348.516655805618
NLD,145.417069878142,224.946109997294
NOR,159.932403385848,212.059552540682
NZL,141.0,264.0
POL,189.473693847656,292.593627929688
PRT,96.2683438155136,328.156424581006
SVN,166.462395543175,286.198749131341
SWE,171.0,220.152883947186
TUR,67.5917389,305.047395
USA,159.102722167969,234.696731567383
