code,country,indicator,year,value
AUS,Australia,tfr,1960,3.453
AUS,Australia,tfr,1961,3.54
AUS,Australia,tfr,1962,3.442
AUS,Australia,tfr,1963,3.332
AUS,Australia,tfr,1964,3.146
AUS,Australia,tfr,1965,2.977
AUS,Australia,tfr,1966,2.881
AUS,Australia,tfr,1967,2.848
AUS,Australia,tfr,1968,2.888
AUS,Australia,tfr,1969,2.886
AUS,Australia,tfr,1970,2.859
AUS,Australia,tfr,1971,2.961
AUS,Australia,tfr,1972,2.744
AUS,Australia,tfr,1973,2.491
AUS,Australia,tfr,1974,2.397
AUS,Australia,tfr,1975,2.148
AUS,Australia,tfr,1976,2.06
AUS,Australia,tfr,1977,2.007
AUS,Australia,tfr,1978,1.949
AUS,Australia,tfr,1979,1.907
AUS,Australia,tfr,1980,1.891
AUS,Australia,tfr,1981,1.935
AUS,Australia,tfr,1982,1.929
AUS,Australia,tfr,1983,1.924
AUS,Australia,tfr,1984,1.84
AUS,Australia,tfr,1985,1.923
AUS,Australia,tfr,1986,1.868
AUS,Australia,tfr,1987,1.845
AUS,Australia,tfr,1988,1.831
AUS,Australia,tfr,1989,1.838
AUS,Australia,tfr,1990,1.902
AUS,Australia,tfr,1991,1.849
AUS,Australia,tfr,1992,1.888
AUS,Australia,tfr,1993,1.859
AUS,Australia,tfr,1994,1.842
AUS,Australia,tfr,1995,1.822
AUS,Australia,tfr,1996,1.796
AUS,Australia,tfr,1997,1.778
AUS,Australia,tfr,1998,1.762
AUS,Australia,tfr,1999,1.755
AUS,Australia,tfr,2000,1.756
AUS,Australia,tfr,2001,1.739
AUS,Australia,tfr,2002,1.756
AUS,Australia,tfr,2003,1.748
AUS,Australia,tfr,2004,1.768
AUS,Australia,tfr,2005,1.807
AUS,Australia,tfr,2006,1.908
AUS,Australia,tfr,2007,1.959
AUS,Australia,tfr,2008,1.984
AUS,Australia,tfr,2009,1.971
AUS,Australia,tfr,2010,1.928
AUS,Australia,tfr,2011,1.926
AUS,Australia,tfr,2012,1.92
AUS,Australia,tfr,2013,1.855
AUS,Australia,tfr,2014,1.826
AUS,Australia,tfr,2015,1.814
AUS,Australia,tfr,2016,1.752
AUS,Australia,tfr,2017,1.741
AUS,Australia,tfr,2018,1.74
AUS,Australia,tfr,2019,1.657
AUS,Australia,tfr,2020,1.581
AUS,Australia,tfr,2021,1.7
AUS,Australia,tfr,2022,1.63
AUS,Australia,tfr,2023,1.499
AUS,Australia,tfr,2024,1.481
AUS,Australia,lfp_ratio,1990,69.0722057891401
AUS,Australia,lfp_ratio,1991,69.5825421870403
AUS,Australia,lfp_ratio,1992,70.0084824494082
AUS,Australia,lfp_ratio,1993,70.25090578481
AUS,Australia,lfp_ratio,1994,71.4169491525424
AUS,Australia,lfp_ratio,1995,72.5896974696726
AUS,Australia,lfp_ratio,1996,73.0717570922708
AUS,Australia,lfp_ratio,1997,73.3711629178916
AUS,Australia,lfp_ratio,1998,73.7652244359921
AUS,Australia,lfp_ratio,1999,74.233171216978
AUS,Australia,lfp_ratio,2000,75.6230615861763
AUS,Australia,lfp_ratio,2001,76.6083333333333
AUS,Australia,lfp_ratio,2002,76.9642534377042
AUS,Australia,lfp_ratio,2003,78.1627640869638
AUS,Australia,lfp_ratio,2004,77.8716334138475
AUS,Australia,lfp_ratio,2005,79.0182281566846
AUS,Australia,lfp_ratio,2006,79.6101202820407
AUS,Australia,lfp_ratio,2007,80.064729376119
AUS,Australia,lfp_ratio,2008,80.6093535075653
AUS,Australia,lfp_ratio,2009,81.2392046318175
AUS,Australia,lfp_ratio,2010,80.9972115623533
AUS,Australia,lfp_ratio,2011,81.5608824424945
AUS,Australia,lfp_ratio,2012,81.9252781529807
AUS,Australia,lfp_ratio,2013,82.1857816457024
AUS,Australia,lfp_ratio,2014,82.6374616402489
AUS,Australia,lfp_ratio,2015,83.1052602000674
AUS,Australia,lfp_ratio,2016,83.9924750346545
AUS,Australia,lfp_ratio,2017,84.5827859473662
AUS,Australia,lfp_ratio,2018,85.2187113460025
AUS,Australia,lfp_ratio,2019,85.5878723284905
AUS,Australia,lfp_ratio,2020,85.8129512828562
AUS,Australia,lfp_ratio,2021,86.7314280880342
AUS,Australia,lfp_ratio,2022,87.5759867776004
AUS,Australia,lfp_ratio,2023,87.3820030162543
AUS,Australia,lfp_ratio,2024,88.3372345525818
AUS,Australia,lfp_ratio,2025,88.4388484119686
AUS,Australia,tertiary_gpi,2015,1.30043005943298
AUS,Australia,tertiary_gpi,2016,1.2977499961853
AUS,Australia,tertiary_gpi,2017,1.29990994930267
AUS,Australia,tertiary_gpi,2018,1.27081000804901
AUS,Australia,tertiary_gpi,2019,1.27968001365662
AUS,Australia,tertiary_gpi,2020,1.29891002178192
AUS,Australia,tertiary_gpi,2021,1.32912003993988
AUS,Australia,tertiary_gpi,2022,1.3323700428009
AUS,Australia,tertiary_gpi,2023,1.31589996814728
AUS,Australia,tertiary_gpi,2024,1.31058001518249
AUS,Australia,gdp_pc,1990,36267.7410592234
AUS,Australia,gdp_pc,1991,35670.6678637309
AUS,Australia,gdp_pc,1992,35426.2848289008
AUS,Australia,gdp_pc,1993,36533.1468283451
AUS,Australia,gdp_pc,1994,37622.6524772939
AUS,Australia,gdp_pc,1995,38653.3366778657
AUS,Australia,gdp_pc,1996,39663.1617728168
AUS,Australia,gdp_pc,1997,40773.5660516518
AUS,Australia,gdp_pc,1998,42257.1718122395
AUS,Australia,gdp_pc,1999,43899.073794405
AUS,Australia,gdp_pc,2000,45099.0752097084
AUS,Australia,gdp_pc,2001,45428.2000837579
AUS,Australia,gdp_pc,2002,46688.3947760633
AUS,Australia,gdp_pc,2003,47581.2285345879
AUS,Australia,gdp_pc,2004,49061.2761503925
AUS,Australia,gdp_pc,2005,49997.0664953941
AUS,Australia,gdp_pc,2006,50693.7248649798
AUS,Australia,gdp_pc,2007,51663.2403953881
AUS,Australia,gdp_pc,2008,52473.3819160773
AUS,Australia,gdp_pc,2009,52407.9115378584
AUS,Australia,gdp_pc,2010,52739.2681556133
AUS,Australia,gdp_pc,2011,53257.0473237603
AUS,Australia,gdp_pc,2012,54403.8836902433
AUS,Australia,gdp_pc,2013,54895.0052588984
AUS,Australia,gdp_pc,2014,55489.068844146
AUS,Australia,gdp_pc,2015,55879.9958817103
AUS,Australia,gdp_pc,2016,56529.951824687
AUS,Australia,gdp_pc,2017,56881.8569859104
AUS,Australia,gdp_pc,2018,57647.8455068105
AUS,Australia,gdp_pc,2019,58048.6188420831
AUS,Australia,gdp_pc,2020,57260.4650530108
AUS,Australia,gdp_pc,2021,58327.4146842325
AUS,Australia,gdp_pc,2022,60029.1329190733
AUS,Australia,gdp_pc,2023,60684.9596204883
AUS,Australia,gdp_pc,2024,60309.5831772339
AUS,Australia,gdp_pc,2025,60194.0633547961
AUT,Austria,tfr,1960,2.69
AUT,Austria,tfr,1961,2.78
AUT,Austria,tfr,1962,2.8
AUT,Austria,tfr,1963,2.82
AUT,Austria,tfr,1964,2.79
AUT,Austria,tfr,1965,2.7
AUT,Austria,tfr,1966,2.66
AUT,Austria,tfr,1967,2.62
AUT,Austria,tfr,1968,2.58
AUT,Austria,tfr,1969,2.49
AUT,Austria,tfr,1970,2.29
AUT,Austria,tfr,1971,2.2
AUT,Austria,tfr,1972,2.08
AUT,Austria,tfr,1973,1.94
AUT,Austria,tfr,1974,1.91
AUT,Austria,tfr,1975,1.83
AUT,Austria,tfr,1976,1.69
AUT,Austria,tfr,1977,1.63
AUT,Austria,tfr,1978,1.6
AUT,Austria,tfr,1979,1.6
AUT,Austria,tfr,1980,1.65
AUT,Austria,tfr,1981,1.67
AUT,Austria,tfr,1982,1.66
AUT,Austria,tfr,1983,1.56
AUT,Austria,tfr,1984,1.52
AUT,Austria,tfr,1985,1.47
AUT,Austria,tfr,1986,1.45
AUT,Austria,tfr,1987,1.43
AUT,Austria,tfr,1988,1.45
