country,tfr,public_parity,men_share_unpaid_pct,private_parity,mismatch
Portugal,1.4,102.8,22.7,45.4,57.5
Japan,1.2,87.6,18.4,36.9,50.7
Korea,0.7,83.9,18.6,37.1,46.8
New Zealand,1.6,113.3,34.8,69.6,43.7
Türkiye,1.5,79.3,18.1,36.3,43.0
Ireland,1.5,101.8,30.3,60.5,41.3
Latvia,1.2,107.5,33.9,67.7,39.8
Italy,1.2,99.5,29.9,59.8,39.7
Lithuania,1.1,107.5,34.2,68.4,39.1
Australia,1.5,109.7,35.6,71.1,38.6
Spain,1.1,104.0,33.5,67.1,36.9
Greece,1.2,90.7,27.2,54.3,36.4
United Kingdom,1.6,107.3,36.0,72.1,35.3
Slovenia,1.5,108.8,36.8,73.5,35.2
Luxembourg,1.2,101.7,33.6,67.1,34.6
Estonia,1.2,110.6,39.9,79.9,30.8
France,1.6,105.6,37.6,75.2,30.5
Belgium,1.4,105.8,37.8,75.6,30.2
Austria,1.3,103.8,36.8,73.6,30.2
Hungary,1.4,100.8,35.6,71.2,29.6
Mexico,1.9,88.7,29.7,59.4,29.3
Poland,1.1,107.6,39.3,78.6,29.0
Sweden,1.4,115.5,43.7,87.4,28.1
Canada,1.2,107.1,39.9,79.7,27.4
United States,1.6,108.0,40.4,80.8,27.2
Norway,1.4,111.7,43.0,86.0,25.8
Netherlands,1.4,101.8,39.3,78.5,23.2
Denmark,1.5,108.7,43.4,86.8,21.9
Finland,1.2,107.2,43.7,87.4,19.8
Germany,1.4,96.9,39.5,78.9,17.9
